Rk,Year,SeasGame,AgeYrs,Tm,Home,Opp,Result,MannSc,OppSc,Start,Cmp,Att,CmpPct,Yds,TD,Int,Rate,Sk
237,2013,13,37,DEN,1,TEN,W,51,28,1,39,59,66.1,397,4,0,107.8,0
238,2013,14,37,DEN,1,SDG,L,20,27,1,27,41,65.85,289,2,1,92.4,1
239,2013,15,37,DEN,0,HOU,W,37,13,1,32,51,62.75,400,4,0,113.2,1
240,2013,16,37,DEN,0,OAK,W,34,14,1,25,28,89.29,266,4,0,145.8,1
241,2014,1,38,DEN,1,IND,W,31,24,1,22,36,61.11,269,3,0,111.9,1
242,2014,2,38,DEN,1,KAN,W,24,17,1,21,26,80.77,242,3,0,143.9,1
243,2014,3,38,DEN,0,SEA,L,20,26,1,31,49,63.27,303,2,1,85.7,1
244,2014,4,38,DEN,1,ARI,W,41,20,1,31,47,65.96,479,4,2,110.2,1
245,2014,5,38,DEN,0,NYJ,W,31,17,1,22,33,66.67,237,3,0,117.9,2
246,2014,6,38,DEN,1,SFO,W,42,17,1,22,26,84.62,318,4,0,157.2,2
247,2014,7,38,DEN,1,SDG,W,35,21,1,25,35,71.43,286,3,0,124.2,0
248,2014,8,38,DEN,0,NWE,L,21,43,1,34,57,59.65,438,2,2,80.9,1
249,2014,9,38,DEN,0,OAK,W,41,17,1,31,44,70.45,340,5,2,111.9,0
250,2014,10,38,DEN,0,STL,L,7,22,1,34,54,62.96,389,1,2,75.3,2
251,2014,11,38,DEN,1,MIA,W,39,36,1,28,35,80,257,4,0,135.4,1
252,2014,12,38,DEN,0,KAN,W,29,16,1,17,34,50,179,2,0,85.3,1
253,2014,13,38,DEN,1,BUF,W,24,17,1,14,20,70,173,0,2,56.9,0
254,2014,14,38,DEN,0,SDG,W,22,10,1,14,20,70,233,1,0,125.6,1
255,2014,15,38,DEN,0,CIN,L,28,37,1,28,44,63.64,311,2,4,61.8,2
256,2014,16,38,DEN,1,OAK,W,47,14,1,21,37,56.76,273,0,0,80.1,1
257,2015,1,39,DEN,1,BAL,W,19,13,1,24,40,60,175,0,1,59.9,4
258,2015,2,39,DEN,0,KAN,W,31,24,1,26,45,57.78,256,3,1,86.9,3
259,2015,3,39,DEN,0,DET,W,24,12,1,31,42,73.81,324,2,1,101.7,1
260,2015,4,39,DEN,1,MIN,W,23,20,1,17,27,62.96,213,1,2,68.9,2
261,2015,5,39,DEN,0,OAK,W,16,10,1,22,35,62.86,266,0,2,62.3,2
262,2015,6,39,DEN,0,CLE,W,26,23,1,26,48,54.17,290,1,3,53.3,0
263,2015,7,39,DEN,1,GNB,W,29,10,1,21,29,72.41,340,0,1,96.9,0
264,2015,8,39,DEN,0,IND,L,24,27,1,21,36,58.33,281,2,2,78.6,1
265,2015,9,39,DEN,1,KAN,L,13,29,1,5,20,25,35,0,4,0,2
266,2015,16,39,DEN,1,SDG,W,27,20,0,5,9,55.56,69,0,0,80.3,1
